,time,hour,Alcalde,Avila_Camacho,Enrique_Diaz_de_Leon,Federalismo,Hidalgo,Independencia,Juarez,Lazaro_Cardenas,Lopez_Mateos,Vallarta,origin,destination
54,2019-05-03 06:44:21.352269,06,0,0,0,0,0,0,0,0,0,0,La Minerva,Basílica de Zapopan
55,2019-05-03 06:44:21.352269,06,0,0,0,0,0,0,0,0,0,0,Basílica de Zapopan,Hospicio Cabañas
56,2019-05-03 06:44:21.352269,06,0,0,0,0,0,0,0,0,0,0,Basílica de Zapopan,Plaza Galerías
57,2019-05-03 06:44:21.352269,06,0,0,0,0,0,0,0,0,0,0,Basílica de Zapopan,Andares
58,2019-05-03 06:44:21.352269,06,0,0,0,0,0,0,0,0,0,0,Basílica de Zapopan,Secretaría de Movilidad
59,2019-05-03 06:44:21.352269,06,0,0,0,0,0,0,0,0,0,0,Basílica de Zapopan,La Minerva
60,2019-05-03 07:44:21.352264,07,0,0,0,0,0,0,0,0,0,0,Hospicio Cabañas,Plaza Galerías
61,2019-05-03 07:44:21.352264,07,0,0,0,0,0,0,0,0,0,0,Hospicio Cabañas,Andares
62,2019-05-03 07:44:21.352264,07,0,0,0,0,0,0,0,0,0,0,Hospicio Cabañas,Secretaría de Movilidad
63,2019-05-03 07:44:21.352264,07,0,0,0,0,0,0,0,0,0,0,Hospicio Cabañas,La Minerva
64,2019-05-03 07:44:21.352264,07,0,0,0,0,0,0,0,0,0,0,Hospicio Cabañas,Basílica de Zapopan
65,2019-05-03 07:44:21.352264,07,0,0,0,0,0,0,0,0,0,0,Plaza Galerías,Hospicio Cabañas
66,2019-05-03 07:44:21.352264,07,0,0,0,0,0,0,0,0,0,0,Plaza Galerías,Andares
67,2019-05-03 07:44:21.352264,07,0,0,0,0,0,0,0,0,0,0,Plaza Galerías,Secretaría de Movilidad
68,2019-05-03 07:44:21.352264,07,0,0,0,0,0,0,0,0,0,0,Plaza Galerías,La Minerva
69,2019-05-03 07:44:21.352264,07,0,0,0,0,0,0,0,0,0,0,Plaza Galerías,Basílica de Zapopan
70,2019-05-03 07:44:21.352264,07,0,0,0,0,0,0,0,0,0,0,Andares,Hospicio Cabañas
71,2019-05-03 07:44:21.352264,07,0,0,0,0,0,0,0,0,0,0,Andares,Plaza Galerías
72,2019-05-03 07:44:21.352264,07,0,0,0,0,0,0,0,0,0,0,Andares,Secretaría de Movilidad
73,2019-05-03 07:44:21.352264,07,0,0,0,0,0,0,0,0,0,0,Andares,La Minerva
74,2019-05-03 07:44:21.352264,07,0,0,0,0,0,0,0,0,0,0,Andares,Basílica de Zapopan
75,2019-05-03 07:44:21.352264,07,0,0,0,0,0,0,0,0,0,0,Secretaría de Movilidad,Hospicio Cabañas
76,2019-05-03 07:44:21.352264,07,0,0,0,0,0,0,0,0,0,0,Secretaría de Movilidad,Plaza Galerías
77,2019-05-03 07:44:21.352264,07,0,0,0,0,0,0,0,0,0,0,Secretaría de Movilidad,Andares
78,2019-05-03 07:44:21.352264,07,0,0,0,0,0,0,0,0,0,0,Secretaría de Movilidad,La Minerva
79,2019-05-03 07:44:21.352264,07,0,0,0,0,0,0,0,0,0,0,Secretaría de Movilidad,Basílica de Zapopan
80,2019-05-03 07:44:21.352264,07,0,0,0,0,0,0,0,0,0,0,La Minerva,Hospicio Cabañas
81,2019-05-03 07:44:21.352264,07,0,0,0,0,0,0,0,0,0,0,La Minerva,Plaza Galerías
82,2019-05-03 07:44:21.352264,07,0,0,0,0,0,0,0,0,0,0,La Minerva,Andares
83,2019-05-03 07:44:21.352264,07,0,0,0,0,0,0,0,0,0,0,La Minerva,Secretaría de Movilidad
84,2019-05-03 07:44:21.352264,07,0,0,0,0,0,0,0,0,0,0,La Minerva,Basílica de Zapopan
85,2019-05-03 07:44:21.352264,07,0,0,0,0,0,0,0,0,0,0,Basílica de Zapopan,Hospicio Cabañas
86,2019-05-03 07:44:21.352264,07,0,0,0,0,0,0,0,0,0,0,Basílica de Zapopan,Plaza Galerías
87,2019-05-03 07:44:21.352264,07,0,0,0,0,0,0,0,0,0,0,Basílica de Zapopan,Andares
88,2019-05-03 07:44:21.352264,07,0,0,0,0,0,0,0,0,0,0,Basílica de Zapopan,Secretaría de Movilidad
89,2019-05-03 07:44:21.352264,07,0,0,0,0,0,0,0,0,0,0,Basílica de Zapopan,La Minerva
90,2019-05-03 08:44:21.352268,08,0,0,1,1,0,0,1,0,0,1,Hospicio Cabañas,Plaza Galerías
91,2019-05-03 08:44:21.352268,08,0,0,1,1,0,0,1,0,0,1,Hospicio Cabañas,Andares
92,2019-05-03 08:44:21.352268,08,0,0,1,1,0,0,1,0,0,1,Hospicio Cabañas,Secretaría de Movilidad
93,2019-05-03 08:44:21.352268,08,0,0,1,1,0,0,1,0,0,1,Hospicio Cabañas,La Minerva
94,2019-05-03 08:44:21.352268,08,0,0,1,1,0,0,1,0,0,1,Hospicio Cabañas,Basílica de Zapopan
