name,time,duration,duration_with_traffic,diff
Vallarta,2019-05-03 17:44:21.350518,6.116666666666666,10.0,3.8833333333333337
Juarez,2019-05-03 17:44:21.350518,6.0,14.233333333333333,8.233333333333333
Hidalgo,2019-05-03 17:44:21.350518,5.316666666666666,17.233333333333334,11.916666666666668
Federalismo,2019-05-03 17:44:21.350518,5.95,14.8,8.850000000000001
Alcalde,2019-05-03 17:44:21.350518,9.366666666666667,16.683333333333334,7.316666666666666
Enrique_Diaz_de_Leon,2019-05-03 17:44:21.350518,8.033333333333333,17.0,8.966666666666667
Lopez_Mateos,2019-05-03 17:44:21.350518,10.65,17.1,6.450000000000001
Avila_Camacho,2019-05-03 17:44:21.350518,8.0,16.116666666666667,8.116666666666667
Independencia,2019-05-03 17:44:21.350518,17.966666666666665,44.68333333333333,26.716666666666665
Lazaro_Cardenas,2019-05-03 17:44:21.350518,6.816666666666666,10.333333333333334,3.5166666666666675
