name,time,duration,duration_with_traffic,diff
Vallarta,2019-05-04 02:44:21.350553,6.116666666666666,7.35,1.2333333333333334
Juarez,2019-05-04 02:44:21.350553,6.0,12.45,6.449999999999999
Hidalgo,2019-05-04 02:44:21.350553,5.316666666666666,8.416666666666666,3.0999999999999996
Federalismo,2019-05-04 02:44:21.350553,5.95,11.466666666666667,5.516666666666667
Alcalde,2019-05-04 02:44:21.350553,9.366666666666667,10.733333333333333,1.3666666666666654
Enrique_Diaz_de_Leon,2019-05-04 02:44:21.350553,8.033333333333333,14.133333333333333,6.1
Lopez_Mateos,2019-05-04 02:44:21.350553,10.65,14.583333333333334,3.9333333333333336
Avila_Camacho,2019-05-04 02:44:21.350553,8.0,12.683333333333334,4.683333333333334
Independencia,2019-05-04 02:44:21.350553,17.966666666666665,30.366666666666667,12.400000000000002
Lazaro_Cardenas,2019-05-04 02:44:21.350553,6.816666666666666,8.65,1.833333333333334
