name,time,duration,duration_with_traffic,diff
Vallarta,2019-05-03 06:44:21.350884,6.116666666666666,5.766666666666667,-0.34999999999999964
Juarez,2019-05-03 06:44:21.350884,6.0,5.85,-0.15000000000000036
Hidalgo,2019-05-03 06:44:21.350884,5.316666666666666,4.766666666666667,-0.5499999999999998
Federalismo,2019-05-03 06:44:21.350884,5.95,6.616666666666666,0.6666666666666661
Alcalde,2019-05-03 06:44:21.350884,9.366666666666667,7.033333333333333,-2.333333333333334
Enrique_Diaz_de_Leon,2019-05-03 06:44:21.350884,8.033333333333333,8.1,0.06666666666666643
Lopez_Mateos,2019-05-03 06:44:21.350884,10.65,11.0,0.34999999999999964
Avila_Camacho,2019-05-03 06:44:21.350884,8.0,7.933333333333334,-0.06666666666666643
Independencia,2019-05-03 06:44:21.350884,17.966666666666665,16.316666666666666,-1.6499999999999986
Lazaro_Cardenas,2019-05-03 06:44:21.350884,6.816666666666666,6.916666666666667,0.10000000000000053
